Year,Winner,Runner-Up,Score
1960,Wolverhampton Wanderers,Blackburn Rovers,3-0
1959,Nottingham Forest,Luton Town,2-1
1958,Bolton Wanderers,Manchester United,2-0
1957,Aston Villa,Manchester United,2-1
1956,Manchester City,Birmingham City,3-1
1955,Newcastle United,Manchester City,3-1
1954,West Bromwich Albion,Preston North End,3-2
1953,Blackpool,Bolton Wanderers,4-3
1952,Newcastle United,Arsenal,1-0
1951,Newcastle United,Blackpool,2-0
1950,Arsenal,Liverpool,2-0
1949,Wolverhampton Wanderers,Leicester City,3-1
1948,Manchester United,Blackpool,4-2
1947,Charlton Athletic,Burnley,1-0 aet
1946,Derby County,Charlton Athletic,4-1 aet
1939,Portsmouth,Wolverhampton Wanderers,4-1
1938,Preston North End,Huddersfield Town,1-0 aet
1937,Sunderland,Preston North End,3-1
1936,Arsenal,Sheffield United,1-0
1935,Sheffield Wednesday,West Bromwich Albion,4-2
1934,Manchester City,Portsmouth,2-1
1933,Everton,Manchester City,3-0
1932,Newcastle United,Arsenal,2-1
1931,West Bromwich Albion,Birmingham City,2-1
1930,Arsenal,Huddersfield Town,2-0
1929,Bolton Wanderers,Portsmouth,2-0
1928,Blackburn Rovers,Huddersfield Town,3-1
1927,Cardiff City,Arsenal,1-0
1926,Bolton Wanderers,Manchester City,1-0
1925,Sheffield United,Cardiff City,1-0
1924,Newcastle United,Aston Villa,2-0
1923,Bolton Wanderers,West Ham United,2-0
1922,Huddersfield Town,Preston North End,1-0
1921,Tottenham Hotspur,Wolverhampton Wanderers,1-0
1920,Aston Villa,Huddersfield Town,1-0 aet
1915,Sheffield United,Chelsea,3-0
1914,Burnley,Liverpool,1-0
1913,Aston Villa,Sunderland,1-0
1912 - replay,Barnsley,West Bromwich Albion,1-0
1912,Barnsley,West Bromwich Albion,0-0
1911 - replay,Bradford City,Newcastle United,1-0
1911,Bradford City,Newcastle United,0-0
1910- replay,Newcastle United,Barnsley,2-0
1910,Newcastle United,Barnsley,1-1
1909,Manchester United,Bristol City,1-0
1908,Wolverhampton Wanderers,Newcastle United,3-1
1907,Sheffield Wednesday,Everton,2-1
1906,Everton,Newcastle United,1-0
1905,Aston Villa,Newcastle United,2-0
1904,Manchester City,Bolton Wanderers,1-0
1903,Bury,Derby County,6-0
1902 - replay,Sheffield United,Southampton,2-1
1902,Sheffield United,Southampton,1-1
1901 - replay,Tottenham Hotspur,Sheffield United,3-1
1901,Tottenham Hotspur,Sheffield United,2-2
1900,Bury,Southampton,4-0
1899,Sheffield United,Derby County,4-1
1898,Nottingham Forest,Derby County,3-1
1897,Aston Villa,Everton,3-2
1896,Sheffield Wednesday,Wolverhampton Wanderers,2-1
1895,Aston Villa,West Bromwich Albion,1-0
1894,Notts County,Bolton Wanderers,4-1
1893,Wolverhampton Wanderers,Everton,1-0
1892,West Bromwich Albion,Aston Villa,3-0
1891,Blackburn Rovers,Notts County,3-1
1890,Blackburn Rovers,Sheffield Wednesday,6-1
1889,Preston North End,Wolverhampton Wanderers,3-0
1888,West Bromwich Albion,Preston North End,2-1
1887,Aston Villa,West Bromwich Albion,2-0
1886 - replay,Blackburn Rovers,West Bromwich Albion,2-0
1886 - first game,Blackburn Rovers,West Bromwich Albion,0-0
1885,Blackburn Rovers,"Queens Park, Glasgow",2-0
1884,Blackburn Rovers,"Queens Park, Glasgow",2-1
1883,Blackburn Olympic,Old Etonians,2-1 aet
1882,Old Etonians,Blackburn Rovers,1-0
1881,Old Carthusians,Old Etonians,3-0
1880,Clapham Rovers,Oxford University,1-0
1879,Old Etonians,Clapham Rovers,1-0
1878,Wanderers,Royal Engineers,3-1
1877,Wanderers,Oxford University,2-1 aet
1876 - replay,Wanderers,Old Etonians,3-0
1876,Wanderers,Old Etonians,1-1 aet
1875 - replay,Royal Engineers,Old Etonians,2-0
1875 - first game,Royal Engineers,Old Etonians,1-1 aet
1874,Oxford University,Royal Engineers,2-0
1873,Wanderers,Oxford University,2-0
1872,Wanderers,Royal Engineers,1-0
